host, subject, issuer, notBefore, notAfter, basicConstraints, sha1Fingerprint
"psi.promo.sber.ru","CN=sberbank-ru.os-psi.sberbank.ru; OU=00CA; O=Sberbank of Russia PJSC; L=Moscow; C=RU","CN=Russian Trusted Sub CA; O=The Ministry of Digital Development and Communications; C=RU","Mar 11 19:07:42 2022 GMT","Mar 11 19:07:42 2023 GMT","CA:FALSE","3C:F7:5F:0D:75:BE:4B:B8:CF:DF:13:95:D2:DF:6C:0B:E7:49:A0:6C"
"psi.promo.sber.ru","CN=Russian Trusted Sub CA; O=The Ministry of Digital Development and Communications; C=RU","CN=Russian Trusted Root CA; O=The Ministry of Digital Development and Communications; C=RU","Mar  2 11:25:19 2022 GMT","Mar  6 11:25:19 2027 GMT","CA:TRUE, pathlen:0 critical","33:5D:43:F5:34:51:B7:81:53:5F:F3:88:2D:F7:13:D3:C1:4F:8A:01"
"psi.sberprime.sber.ru","CN=sberbank-ru.os-psi.sberbank.ru; OU=00CA; O=Sberbank of Russia PJSC; L=Moscow; C=RU","CN=Russian Trusted Sub CA; O=The Ministry of Digital Development and Communications; C=RU","Mar 11 19:07:42 2022 GMT","Mar 11 19:07:42 2023 GMT","CA:FALSE","3C:F7:5F:0D:75:BE:4B:B8:CF:DF:13:95:D2:DF:6C:0B:E7:49:A0:6C"
"psi.sberprime.sber.ru","CN=Russian Trusted Sub CA; O=The Ministry of Digital Development and Communications; C=RU","CN=Russian Trusted Root CA; O=The Ministry of Digital Development and Communications; C=RU","Mar  2 11:25:19 2022 GMT","Mar  6 11:25:19 2027 GMT","CA:TRUE, pathlen:0 critical","33:5D:43:F5:34:51:B7:81:53:5F:F3:88:2D:F7:13:D3:C1:4F:8A:01"
"sberbank-com.os-psi.sberbank.ru","CN=sberbank-ru.os-psi.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","CN=sberbank-ru.os-psi.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","Mar 24 13:04:45 2020 GMT","Mar 25 13:04:45 2022 GMT","CA:FALSE","F7:84:BD:E3:8F:17:11:3F:F1:88:E8:B2:25:22:D8:30:BC:7E:AF:66"
"sberbank-com.os-psi.sberbank.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"sberbank-ru.os-psi.sberbank.ru","CN=sberbank-ru.os-psi.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","CN=sberbank-ru.os-psi.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","Mar 24 13:04:45 2020 GMT","Mar 25 13:04:45 2022 GMT","CA:FALSE","F7:84:BD:E3:8F:17:11:3F:F1:88:E8:B2:25:22:D8:30:BC:7E:AF:66"
"sberbank-ru.os-psi.sberbank.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"sberbank1-ru.os-psi.sberbank.ru","CN=sberbank-ru.os-psi.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","CN=sberbank-ru.os-psi.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","Mar 24 13:04:45 2020 GMT","Mar 25 13:04:45 2022 GMT","CA:FALSE","F7:84:BD:E3:8F:17:11:3F:F1:88:E8:B2:25:22:D8:30:BC:7E:AF:66"
"sberbank1-ru.os-psi.sberbank.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"www.sberbank-com.os-psi.sberbank.ru","CN=sberbank-ru.os-psi.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","CN=sberbank-ru.os-psi.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","Mar 24 13:04:45 2020 GMT","Mar 25 13:04:45 2022 GMT","CA:FALSE","F7:84:BD:E3:8F:17:11:3F:F1:88:E8:B2:25:22:D8:30:BC:7E:AF:66"
"www.sberbank-com.os-psi.sberbank.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"www.sberbank-ru.os-psi.sberbank.ru","CN=sberbank-ru.os-psi.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","CN=sberbank-ru.os-psi.sberbank.ru; O=Sberbank of Russia PJSC; L=Moscow; ST=Moscow; C=RU","Mar 24 13:04:45 2020 GMT","Mar 25 13:04:45 2022 GMT","CA:FALSE","F7:84:BD:E3:8F:17:11:3F:F1:88:E8:B2:25:22:D8:30:BC:7E:AF:66"
